1 --> s0WSd25400
Date of simulation:  05/05/2017,10:30:44
Description:  
1 11/02/2014,00:00:00  0.00000000000000E+0000
1 12/02/2014,00:00:00  1.08097945216636E+0000
1 13/02/2014,00:00:00  0.00000000000000E+0000
1 14/02/2014,00:00:00  0.00000000000000E+0000
1 15/02/2014,00:00:00  0.00000000000000E+0000
1 16/02/2014,00:00:00  0.00000000000000E+0000
1 17/02/2014,00:00:00  1.27902815699409E+0000
1 18/02/2014,00:00:00  0.00000000000000E+0000
1 19/02/2014,00:00:00  0.00000000000000E+0000
1 20/02/2014,00:00:00  0.00000000000000E+0000
1 21/02/2014,00:00:00  0.00000000000000E+0000
1 22/02/2014,00:00:00  1.09511333094134E-0001
1 23/02/2014,00:00:00  1.09511333094134E-0001
1 24/02/2014,00:00:00  1.09511333094134E-0001
1 25/02/2014,00:00:00  1.09511333094134E-0001
1 26/02/2014,00:00:00  1.09511333094134E-0001
1 27/02/2014,00:00:00  1.09511333094134E-0001
1 28/02/2014,00:00:00  1.09511333094134E-0001
1 01/03/2014,00:00:00  1.09511333094134E-0001
1 02/03/2014,00:00:00  1.09511333094134E-0001
1 03/03/2014,00:00:00  1.09511333094134E-0001
1 04/03/2014,00:00:00  1.09511333094134E-0001
1 05/03/2014,00:00:00  1.09511333094134E-0001
1 06/03/2014,00:00:00  1.09511333094134E-0001
1 07/03/2014,00:00:00  1.09511333094134E-0001
1 08/03/2014,00:00:00  1.09511333094134E-0001
1 09/03/2014,00:00:00  1.09511333094134E-0001
1 10/03/2014,00:00:00  1.09511333094134E-0001
1 11/03/2014,00:00:00  1.09511333094134E-0001
1 12/03/2014,00:00:00  1.09511333094134E-0001
1 13/03/2014,00:00:00  1.09511333094134E-0001
1 14/03/2014,00:00:00  1.09511333094134E-0001
1 15/03/2014,00:00:00  1.09511333094134E-0001
1 16/03/2014,00:00:00  1.09511333094134E-0001
1 17/03/2014,00:00:00  1.09511333094134E-0001
1 18/03/2014,00:00:00  0.00000000000000E+0000
1 19/03/2014,00:00:00  0.00000000000000E+0000
1 20/03/2014,00:00:00  0.00000000000000E+0000
1 21/03/2014,00:00:00  0.00000000000000E+0000
1 22/03/2014,00:00:00  0.00000000000000E+0000
1 23/03/2014,00:00:00  0.00000000000000E+0000
1 24/03/2014,00:00:00  0.00000000000000E+0000
